epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4907,2.24973,2.91721,0.0044,0.10747,0.48758,0.15627,0.06088,2.11283,4.01734,0.00484,0.000327381,0.000327381,0.0675893
2,44.6908,2.12112,1.99732,0.00401,0.47259,0.52072,0.46427,0.21013,1.89716,1.90338,0.00436,0.000647632,0.000647632,0.0345762
3,54.9099,2.11477,1.88394,0.0043,0.54186,0.51915,0.51358,0.21925,1.93362,1.73526,0.00435,0.000954683,0.000954683,0.00154992
4,65.2104,2.0927,1.69436,0.00392,0.45322,0.57924,0.49183,0.21951,1.80784,1.66565,0.00422,0.0009406,0.0009406,0.0009406
5,75.3663,2.06951,1.64445,0.00425,0.45303,0.58791,0.52965,0.22641,1.98031,1.66213,0.00449,0.0009208,0.0009208,0.0009208
6,85.6528,2.06188,1.56358,0.00399,0.52613,0.56156,0.52686,0.2241,2.00271,1.64891,0.00464,0.000901,0.000901,0.000901
7,95.9434,2.0559,1.54974,0.0039,0.60259,0.59877,0.58961,0.2601,1.87732,1.46692,0.00448,0.0008812,0.0008812,0.0008812
8,106.158,2.02232,1.51313,0.0039,0.62043,0.61885,0.62602,0.26676,1.91688,1.57452,0.0042,0.0008614,0.0008614,0.0008614
9,116.612,2.02103,1.45391,0.00389,0.58448,0.64133,0.62819,0.29271,1.80775,1.40858,0.00404,0.0008416,0.0008416,0.0008416
10,126.981,2.02602,1.43067,0.00378,0.62408,0.61842,0.63771,0.31494,1.7498,1.38489,0.00405,0.0008218,0.0008218,0.0008218
11,137.375,2.01419,1.42948,0.00379,0.57054,0.63243,0.62091,0.29279,1.84372,1.37515,0.00406,0.000802,0.000802,0.000802
12,147.661,2.03655,1.43129,0.00403,0.65979,0.61895,0.64249,0.30531,1.8571,1.33476,0.00424,0.0007822,0.0007822,0.0007822
13,157.885,1.98505,1.36458,0.00406,0.60303,0.64372,0.61761,0.28934,1.91069,1.40886,0.00409,0.0007624,0.0007624,0.0007624
14,168.143,1.99753,1.52006,0.00411,0.54464,0.67762,0.6233,0.29118,1.85531,1.40143,0.00414,0.0007426,0.0007426,0.0007426
15,178.367,1.99295,1.34743,0.00364,0.63969,0.60645,0.61977,0.28177,1.90108,1.38653,0.00419,0.0007228,0.0007228,0.0007228
16,188.45,1.97228,1.33668,0.00385,0.58851,0.6433,0.61179,0.30281,1.8652,1.31253,0.00429,0.000703,0.000703,0.000703
17,198.668,2.00519,1.34856,0.00382,0.64111,0.6323,0.62692,0.29139,1.86221,1.37017,0.00443,0.0006832,0.0006832,0.0006832
18,208.824,1.97896,1.35804,0.00369,0.63497,0.60943,0.62131,0.29121,1.83391,1.35669,0.00415,0.0006634,0.0006634,0.0006634
19,219.194,1.96617,1.34811,0.00395,0.59008,0.65745,0.62428,0.30318,1.82331,1.38903,0.00416,0.0006436,0.0006436,0.0006436
20,229.989,1.95781,1.29977,0.00375,0.60042,0.60318,0.61729,0.29032,1.83731,1.31438,0.00417,0.0006238,0.0006238,0.0006238
21,240.529,2.0314,1.33818,0.00335,0.63768,0.60903,0.60859,0.27009,1.99001,1.36808,0.00436,0.000604,0.000604,0.000604
22,250.916,1.98536,1.39613,0.00388,0.60654,0.59775,0.61609,0.30206,1.85581,1.41146,0.00414,0.0005842,0.0005842,0.0005842
23,261.314,1.95118,1.32592,0.00387,0.60861,0.65345,0.62972,0.30093,1.835,1.29017,0.00413,0.0005644,0.0005644,0.0005644
24,272.035,1.9452,1.29968,0.00381,0.66887,0.61958,0.65511,0.3159,1.78009,1.30608,0.004,0.0005446,0.0005446,0.0005446
25,282.747,1.92647,1.29408,0.00378,0.63814,0.64187,0.6624,0.32187,1.81836,1.27641,0.00406,0.0005248,0.0005248,0.0005248
26,293.506,1.89664,1.23437,0.00379,0.62055,0.66466,0.65657,0.32601,1.82341,1.26536,0.00417,0.000505,0.000505,0.000505
27,304.373,1.93927,1.21829,0.00357,0.63204,0.64271,0.65458,0.30054,1.88673,1.30936,0.0043,0.0004852,0.0004852,0.0004852
28,315.153,1.92411,1.22972,0.00407,0.62041,0.66496,0.64559,0.31354,1.80876,1.2804,0.00404,0.0004654,0.0004654,0.0004654
29,325.902,1.8842,1.1743,0.00335,0.63564,0.67925,0.66976,0.29792,1.87113,1.30685,0.00417,0.0004456,0.0004456,0.0004456
30,336.863,1.93467,1.21403,0.00341,0.65449,0.66861,0.66839,0.33723,1.78021,1.21741,0.00401,0.0004258,0.0004258,0.0004258
31,347.866,1.87996,1.15568,0.0034,0.66605,0.66326,0.67249,0.32987,1.81262,1.20787,0.00404,0.000406,0.000406,0.000406
32,358.668,1.89692,1.20244,0.00344,0.67956,0.6511,0.65815,0.32347,1.8372,1.26246,0.004,0.0003862,0.0003862,0.0003862
33,369.431,1.93511,1.20407,0.00368,0.67926,0.65182,0.66523,0.32592,1.78052,1.23083,0.0039,0.0003664,0.0003664,0.0003664
34,380.113,1.88402,1.16308,0.00346,0.69285,0.66539,0.67443,0.33937,1.77456,1.24941,0.00383,0.0003466,0.0003466,0.0003466
35,390.909,1.8554,1.11756,0.00355,0.65271,0.6602,0.66177,0.32109,1.84466,1.26049,0.004,0.0003268,0.0003268,0.0003268
36,401.615,1.91814,1.16597,0.00326,0.67025,0.65182,0.67174,0.33608,1.7729,1.24836,0.00395,0.000307,0.000307,0.000307
37,412.273,1.88168,1.1899,0.00323,0.66506,0.65097,0.66893,0.33558,1.76358,1.2137,0.00397,0.0002872,0.0002872,0.0002872
38,422.836,1.85221,1.22107,0.00341,0.62656,0.65784,0.64882,0.31063,1.81214,1.33878,0.00407,0.0002674,0.0002674,0.0002674
39,433.55,1.83569,1.13785,0.00329,0.67246,0.66494,0.65617,0.31548,1.83563,1.3209,0.00412,0.0002476,0.0002476,0.0002476
40,444.366,1.87512,1.30376,0.00382,0.66072,0.66921,0.66812,0.32673,1.82139,1.3375,0.00407,0.0002278,0.0002278,0.0002278
41,455.823,1.86567,1.14569,0.00355,0.64862,0.66946,0.67758,0.33557,1.79306,1.23486,0.00401,0.000208,0.000208,0.000208
42,466.395,1.84724,1.17527,0.00335,0.67414,0.65005,0.67969,0.3312,1.83482,1.32294,0.00408,0.0001882,0.0001882,0.0001882
43,476.987,1.81939,1.11053,0.00381,0.70122,0.64863,0.68285,0.3333,1.80301,1.2372,0.00402,0.0001684,0.0001684,0.0001684
44,487.608,1.82327,1.13308,0.00393,0.67454,0.68086,0.68945,0.34377,1.77193,1.28761,0.00396,0.0001486,0.0001486,0.0001486
45,498.319,1.82235,1.10497,0.00347,0.69031,0.65582,0.68602,0.34333,1.77477,1.22017,0.00398,0.0001288,0.0001288,0.0001288
46,508.901,1.84125,1.10462,0.00371,0.68283,0.65456,0.68082,0.34554,1.77107,1.21318,0.00398,0.000109,0.000109,0.000109
47,519.73,1.77269,1.09934,0.00342,0.66302,0.67706,0.67862,0.34017,1.77494,1.2553,0.00398,8.92e-05,8.92e-05,8.92e-05
48,530.583,1.79426,1.02477,0.00337,0.6846,0.6654,0.67841,0.34183,1.77506,1.24493,0.00395,6.94e-05,6.94e-05,6.94e-05
49,541.373,1.79823,1.0387,0.00352,0.68265,0.68011,0.68085,0.34143,1.7817,1.22863,0.00398,4.96e-05,4.96e-05,4.96e-05
50,552.112,1.80654,1.03621,0.00357,0.68949,0.68551,0.6815,0.34336,1.77316,1.2392,0.00394,2.98e-05,2.98e-05,2.98e-05
