image,gt_boxes,pred_boxes,tp,fp,fn,mean_matched_iou
anthracnose_113_jpg.rf.7b18a7137c6447d1f86b3e541eef0cdc.jpg,4,4,2,2,2,0.7226908654155104
anthracnose_1228_jpg.rf.a190f384b8020991242c6641c5a833cc.jpg,48,52,41,11,7,0.7173663754223936
anthracnose_1292_jpg.rf.8f770e4950bcd31194496bd0e3a1756a.jpg,3,1,0,1,3,
anthracnose_1580_jpg.rf.7a453d3a056d45f0b203c5ead3b54086.jpg,3,2,0,2,3,
anthracnose_811_jpg.rf.0baaaaa27c22537f6052490e0b7b15d1.jpg,3,3,2,1,1,0.6514676066218639
leaf_miner_1076_jpg.rf.1e6a73d29f993bb6f32c04dbeae03368.jpg,7,14,7,7,0,0.7266122920476722
leaf_miner_1167_jpg.rf.fbc83729e2a2aa65eacd0bd2425bf54b.jpg,2,3,2,1,0,0.9184421962806438
leaf_miner_1324_jpg.rf.51f5d1afe61ca9a2aa2b6f9d8d2845d9.jpg,6,7,3,4,3,0.6660380259275746
leaf_miner_133_jpg.rf.1126d94f708bd7e16354a8fd81cf9ba9.jpg,7,1,1,0,6,0.8646247603463347
leaf_miner_353_jpg.rf.070656c9c29c55fe02e2db613888cc94.jpg,1,4,1,3,0,0.9430792143991744
leaf_miner_509_jpg.rf.f56e699513e321fb6cc040dfe0002fa4.jpg,4,4,3,1,1,0.8390003614919115
leaf_miner_57_jpg.rf.49231e34204184a0702072374cc5b477.jpg,3,3,2,1,1,0.680395389770082
leaf_miner_877_jpg.rf.25842a084f00aff1efeed8b304c5b941.jpg,11,6,6,0,5,0.8186069526093772
leaf_miner_938_jpg.rf.b2f71e3addc7a5bab5d300704a8f9555.jpg,1,1,1,0,0,0.8915668121807319
red_rust_1124_jpg.rf.92ebdb947365e1bfce779373b9f55207.jpg,112,107,81,26,31,0.7647079711840793
red_rust_199_jpg.rf.8dbf7ab48fa916a6942e83f5ca84f5b8.jpg,85,81,65,16,20,0.7691874280451305
red_rust_330_jpg.rf.eefad10babd04701625f7aa56b4bf619.jpg,13,18,9,9,4,0.6808807727880414
red_rust_350_jpg.rf.4735fd48e97af9c48192533ea133086b.jpg,74,58,42,16,32,0.7811895754675247
red_rust_593_jpg.rf.9a91659fb2545faf5eeab623a42c038e.jpg,77,145,63,82,14,0.7703796824120962
red_rust_80_jpg.rf.52eca4226ddec496bf054f66bdcd65d9.jpg,27,72,25,47,2,0.7474140158309314
